path_kind,moving,duration,time_skew,u,radius,mass_onset_order,predicted_angular_coefficient,angular_residual,scaled_angular_residual,angular_coefficient_ratio,material_density,material_onset_order,predicted_material_coefficient,scaled_material_density,predicted_current_coefficient,current,initial_boundary_enthalpy,roundoff_floor,log_f_onset_coefficient
direct,True,4.0,-0.65,0.125,6.25,3,1.07769746145153e-05,3.360492744840341e-07,2.6883941958722726e-06,0.24945722635843703,2.2374521241803617e-12,4,3.35228131366374e-08,9.164603900642761e-09,2.3174601162943397e-06,1.8933139595725458e-08,-0.00016020795655557235,9.144522766386734e-18,0.00017695854395385902
direct,False,14.255,0.65,0.000244140625,6.25,3,3.818129017975631e-08,9.321313753957346e-12,3.818010113620929e-08,0.9999688579526406,-8.219411141562527e-15,2,-1.3793965595536179e-07,-1.378988361148011e-07,1.3793965595536179e-07,8.219411141562527e-15,-0.00016020795655557235,9.106769023112883e-18,0.00017695854395385902
direct,False,14.255,0.65,0.00048828125,6.25,3,3.818129017975631e-08,1.8642042878998233e-11,3.817890381618838e-08,0.9999374991374913,-3.28679125343439e-14,2,-1.3793965595536179e-07,-1.3785801701444877e-07,1.3793965595536179e-07,3.28679125343439e-14,-0.00016020795655557235,9.10677008202804e-18,0.00017695854395385902
direct,False,14.255,0.65,0.0009765625,6.25,3,3.818129017975631e-08,3.728172303751713e-11,3.817648439041754e-08,0.99987413234817,-1.3139379600182766e-13,2,-1.3793965595536179e-07,-1.3777638103641245e-07,1.3793965595536179e-07,1.3139379600182766e-13,-0.00016020795655557235,9.106772198086152e-18,0.00017695854395385902
direct,False,14.255,0.65,0.001953125,6.25,3,3.818129017975631e-08,7.455380117513816e-11,3.8171546201670736e-08,0.9997447970448432,-5.249523848840528e-13,2,-1.3793965595536179e-07,-1.3761311798304513e-07,1.3793965595536179e-07,5.249523848840528e-13,-0.00016020795655557235,9.10677642242486e-18,0.00017695854395385902
direct,False,14.255,0.65,0.00390625,6.25,3,3.818129017975631e-08,1.4906747001055057e-10,3.8161272322700945e-08,0.9994757155412738,-2.0948276913992532e-12,2,-1.3793965595536179e-07,-1.3728662758354146e-07,1.3793965595536179e-07,2.0948276913992532e-12,-0.00016020795655557235,9.106784834512368e-18,0.00017695854395385902
direct,False,14.255,0.65,0.0078125,6.25,3,3.818129017975631e-08,2.97961967260312e-10,3.813913180931994e-08,0.9988958369337995,-8.339464745441117e-12,2,-1.3793965595536179e-07,-1.3663379038930726e-07,1.3793965595536179e-07,8.339464745441117e-12,-0.00016020795655557235,9.106801468965177e-18,0.00017695854395385902
direct,False,14.255,0.65,0.015625,6.25,3,3.818129017975631e-08,5.951321621790314e-10,3.808845837945801e-08,0.9975686573224413,-3.30392325924054e-11,2,-1.3793965595536179e-07,-1.3532869669849253e-07,1.3793965595536179e-07,3.30392325924054e-11,-0.00016020795655557235,9.106833639653009e-18,0.00017695854395385902
direct,False,14.255,0.65,0.03125,6.25,3,3.818129017975631e-08,1.1862927469643908e-09,3.7961367902860504e-08,0.9942400511910305,-1.2961023780543986e-10,2,-1.3793965595536179e-07,-1.3272088351277041e-07,1.3793965595536179e-07,1.2961023780543986e-10,-0.00016020795655557235,9.106890993168705e-18,0.00017695854395385902
direct,False,14.255,0.65,0.0625,6.25,3,3.818129017975631e-08,2.3501731493655352e-09,3.7602770389848564e-08,0.984848081686499,-4.981061912366434e-10,2,-1.3793965595536179e-07,-1.2751518495658072e-07,1.3793965595536179e-07,4.981061912366434e-10,-0.00016020795655557235,9.106958854978792e-18,0.00017695854395385902
