regulator,coordinate,pressure_derivative,lapse_term,angular_term,material_exchange,active,absolute_residual,relative_residual
4.0,-4.8739662251960025,-1.2553373413282742e-05,-1.2663540849714148e-11,1.2521456003358997e-05,-2.316553592420742e-24,True,3.1930073464594814e-08,0.0012733908098998606
4.0,-4.81146650685853,-1.4673672273912132e-05,-2.5135373815676027e-11,1.4658138398955322e-05,-1.3934804276303522e-24,True,1.555901033062541e-08,0.000530447887147038
4.0,-4.748966789078518,-1.7071185415428863e-05,-4.936938824071923e-11,1.7101649906039085e-05,-8.417624593565117e-25,True,3.041512122198178e-08,0.0008900366912869989
4.0,-4.686467072300285,-1.9908936983885316e-05,-9.606873539659817e-11,1.9899204190629103e-05,-5.075506494436998e-25,True,9.828861991611175e-09,0.0002469052304816092
4.0,-4.623967357308146,-2.313372722390719e-05,-1.8542121484084802e-10,2.310620331836228e-05,-3.0704724421773907e-25,True,2.7709326759748655e-08,0.0005992486433561419
4.0,-4.561467645474863,-2.6768970786171884e-05,-3.5512095329172927e-10,2.6778967479376096e-05,-1.856201050299565e-25,True,9.64157225092198e-09,0.00018005377279404531
4.0,-4.49896793918356,-3.097782503597103e-05,-6.753078577811966e-10,3.098147905400256e-05,-1.1244611090022134e-25,True,2.9787101737474976e-09,4.807474441884261e-05
4.0,-4.4364682425383455,-3.579087414160279e-05,-1.2757805649268144e-09,3.5788747106868894e-05,-6.816259406906237e-26,True,3.4028152988234677e-09,4.75380365440674e-05
4.0,-4.3739685625471605,-4.122547608644482e-05,-2.3945654493308338e-09,4.1266399674364236e-05,-4.1347996699411465e-26,True,3.852902247008567e-08,0.0004670508911431837
4.0,-4.311468911080143,-4.749818470440301e-05,-4.465473774475684e-09,4.748488769439458e-05,-2.5132782288796578e-26,True,1.776248378290284e-08,0.00018699804396163646
4.0,-4.248969308076241,-5.4565169491757e-05,-8.270638936013223e-09,5.44919847515532e-05,-1.526754882780057e-26,True,8.145537913981381e-08,0.00074684877657386
4.0,-4.186469786752133,-6.225829295536786e-05,-1.5204220670901825e-08,6.230175579179227e-05,-9.304592966770913e-27,True,2.8258615753507508e-08,0.0002268397220177005
4.0,-4.123970401986844,-7.083650703896447e-05,-2.7700623245161e-08,7.084608999044837e-05,-5.661181432196322e-27,True,1.8117671761263372e-08,0.00012785007202279028
4.0,-4.061471243697747,-7.990914361316591e-05,-4.9972185878909466e-08,8.000126407700207e-05,-3.458419226262194e-27,True,4.214827795725193e-08,0.00026349198463965006
4.0,-3.998972457989971,-8.937568599309445e-05,-8.902274510563557e-08,8.941700491825713e-05,-2.107924219092385e-27,True,4.7703819942954313e-08,0.0002666780129050509
4.0,-3.93647428028905,-9.842016533040912e-05,-1.5635277390896132e-07,9.862359344595921e-05,-1.2903767965508266e-27,True,4.707534164112364e-08,0.00023871863596345642
4.0,-3.8739770867779857,-0.00010643088282192973,-2.696052542554161e-07,0.00010669716907088132,-7.880636697501819e-28,True,3.3190053038280147e-09,1.5553147809587563e-05
4.0,-3.811481473514058,-0.00011217468304688117,-4.551785707871167e-07,0.00011250633494426682,-4.832234044825611e-28,True,1.2352667340146339e-07,0.0005486753142668515
4.0,-3.748988376975469,-0.0001133680310698516,-7.478090738582365e-07,0.00011419429047197996,-2.957430972285251e-28,True,7.845032827012515e-08,0.0003436129971918729
4.0,-3.6864992559850713,-0.00010835286138737577,-1.1889969724364439e-06,0.00010956083537654236,-1.8156793780545039e-28,True,1.897701673014558e-08,8.661243002781405e-05
4.0,-3.6240163635647855,-9.385650229625211e-05,-1.8108704989414329e-06,9.554781246526883e-05,-1.1135937792794078e-28,True,1.195603299247017e-07,0.0006252658739516084
4.0,-3.561543149040759,-6.610199524978574e-05,-2.6077880744654514e-06,6.875256710682765e-05,-6.841831315712708e-29,True,4.278378257646317e-08,0.00031124000457066384
4.0,-3.499084846437015,-2.1497182963093597e-05,-3.460405694646857e-06,2.5018839057759544e-05,-4.2040542549207594e-29,True,6.125040001909066e-08,0.001225585797523781
4.0,-3.436649325571781,4.382195388377076e-05,-4.0226456806646565e-06,-3.971288360416787e-05,-2.583584988451277e-29,True,8.642459893822897e-08,0.0009870612517699623
4.0,-3.374248307616999,0.00013308010548337536,-3.5073673214531982e-06,-0.0001295211577240014,-1.589667019547895e-29,True,5.1580437920753335e-08,0.0001938322624796085
4.0,-3.3118990763967497,0.0002481433237217105,-3.98259480424592e-07,-0.00024764234422088325,-9.766993240375525e-30,True,1.0272002040265498e-07,0.00020702004786036067
4.0,-3.249626847281477,0.00038813382653112775,7.916281662081913e-06,-0.00039580847506524706,-6.010780242467383e-30,True,2.4163312796260036e-07,0.00030514681923165203
4.0,-3.187467979557267,0.0005487916026099088,2.562576858916691e-05,-0.0005742156599352484,-3.695350011889473e-30,True,2.0171126382736992e-07,0.0001756098408803127
4.0,-3.125474220110611,0.000721363166402746,5.865598011173461e-05,-0.0007797053803139426,-2.2711201404795555e-30,True,3.137662005380697e-07,0.00020116770310465564
4.0,-3.063718118168973,0.0008925278831866587,0.00011512950341236589,-0.0010076906970246967,-1.3949198323852958e-30,True,3.331042567212422e-08,1.6528373407451283e-05
4.0,-2.999851661324934,0.001050337438547995,0.000208710273231095,-0.0012589161129512188,-8.394556799184747e-31,True,1.3159882787119014e-07,5.226398670969201e-05
4.0,-2.9365031535663584,0.0011644053077905082,0.0003491925548748469,-0.0015136725150992666,-5.045728512554178e-31,True,7.465243391144814e-08,2.4659982292884103e-05
4.0,-2.873874970311094,0.0012112856075084711,0.0005459918625525676,-0.0017576815339874928,-3.0283790515402697e-31,True,4.040639264540468e-07,0.0001149555161208554
4.0,-2.812226326433804,0.001171877699971827,0.0008038007311518779,-0.001976130372563023,-1.814291978714022e-31,True,4.5194143931783295e-07,0.00011436318449824977
4.0,-2.7495845688908305,0.0010279081590155812,0.0011323855081599643,-0.002160788625914299,-1.0633386065541017e-31,True,4.949587387535065e-07,0.00011454508504617717
4.0,-2.686543645033442,0.0007708405049662725,0.001521039553342874,-0.0022924387890246585,-6.092523496374011e-32,True,5.587307155118654e-07,0.00012187867688060521
4.0,-2.6259528625604176,0.00042700445864796496,0.0019261621359222619,-0.0023535458276915965,-3.4794876779218924e-32,True,3.7923312136986867e-07,8.057282607200956e-05
4.0,-2.5623200091966734,-4.162229176968797e-06,0.002338598989784202,-0.002334324577665705,-1.863711736195213e-32,True,1.1218294152827435e-07,2.3985649698618084e-05
4.0,-2.499173817124069,-0.0004438968245799109,0.0026657686746985204,-0.002220691447851447,-9.544432205762696e-33,True,1.1804022671626536e-06,0.00022144900967621678
4.0,-2.4378528174128524,-0.0008000384210771585,0.002818418942528739,-0.0020160319850605905,-4.666578840558658e-33,True,2.3485363909903252e-06,0.0004168144166509344
4.0,-2.375080119401938,-0.000988553625274044,0.0027068210830438035,-0.0017150623283909243,-2.0468956209852232e-33,True,3.2051293788351674e-06,0.0005923975008098204
4.0,-2.3121115911076853,-0.0009033434571213161,0.0022456976597001834,-0.001340124008441948,-7.870499283289762e-34,True,2.2301941369194146e-06,0.0004967948548759466
4.0,-2.250413499745471,-0.0005249071832670235,0.00146105037243701,-0.0009394614089385829,-2.594301466397305e-34,True,3.318219768596426e-06,0.0011342716406440594
4.0,-2.1877592112104804,3.9736308922436514e-05,0.0005056215367746628,-0.0005574811330523951,-6.597267563044654e-35,True,1.212328735529576e-05,0.010992799120178283
4.0,-2.124891479904685,0.0004969030346278106,-0.00024301775495195484,-0.00026638397447419743,-1.1890372890266335e-35,True,1.2498694798341637e-05,0.012420387187664549
4.0,-2.062585195350809,0.0005867185628362072,-0.00046299107539202964,-0.00010648707538505555,-1.3785692437692688e-36,True,1.724041205912199e-05,0.014911313841433654
4.0,-1.9998461967587784,0.00037874760578079285,-0.0002863617845063512,-4.7531429280533764e-05,-8.399933546850116e-38,True,4.485439199390787e-05,0.06294109285112057
4.0,-1.875016588759204,-6.928634399597633e-06,-7.0054338172942635e-06,-2.474516863977745e-05,-2.0568675614229515e-41,True,3.867923685666935e-05,1.0
4.0,-1.7499964394783956,-1.5252274738302125e-05,6.719847540675778e-06,-1.5786983827458494e-05,-1.7201281242484377e-47,True,2.431941102508484e-05,0.6440674457846703
