grid,s,l,field,reference,interpolated,relative_error
coarse,-0.8290206453580747,3.9254434739627424,gamma_ll,1.000095663798291,1.0000956590362835,4.761551946883085e-09
coarse,-0.8290206453580747,3.9254434739627424,gamma_omega,18.519215314574428,18.51921527506685,2.1333290184856075e-09
coarse,0.5795978062294469,5.698485880679485,alpha,1.000000000000762,1.000000000000762,0.0
coarse,0.5795978062294469,5.698485880679485,beta,0.0,-1.3637733839350724e-52,1.3637733839350724e-52
coarse,0.5795978062294469,5.698485880679485,gamma_ll,1.000000000002765,1.000000000002765,0.0
coarse,0.5795978062294469,5.698485880679485,gamma_omega,35.5353275445946,35.535327544609096,4.079059575661893e-13
coarse,0.4330884750698185,3.1926524839537613,alpha,1.0043021929966676,1.0043021669940837,2.5891194946297793e-08
coarse,0.4330884750698185,3.1926524839537613,beta,3.590677869904749e-46,-8.993880311653295e-26,8.993880311653295e-26
coarse,0.4330884750698185,3.1926524839537613,gamma_ll,1.015676007004687,1.0156759147035628,9.087654297501631e-08
coarse,0.4330884750698185,3.1926524839537613,gamma_omega,13.530689386435881,13.530689392918324,4.790918512481883e-10
coarse,-0.42363520906043695,2.165937544148747,alpha,2.837789286760521,2.8377938078095784,1.593158829107376e-06
coarse,-0.42363520906043695,2.165937544148747,beta,4.8541529432238435e-05,4.768497875073264e-05,8.565506815057936e-07
coarse,-0.42363520906043695,2.165937544148747,gamma_ll,20.58483591618809,20.58490248631584,3.233940169396611e-06
coarse,-0.42363520906043695,2.165937544148747,gamma_omega,8.881788986425843,8.881788965060503,2.4055221028432063e-09
coarse,2.3841060717832465,2.89572909663071,alpha,1.0001013710774247,1.0001013710341262,4.329408714751592e-11
coarse,2.3841060717832465,2.89572909663071,beta,-0.0006000228741358779,-0.0006000207289290297,2.145206848204635e-09
coarse,2.3841060717832465,2.89572909663071,gamma_ll,1.0003676375103259,1.000367637354638,1.5563069133092405e-10
coarse,2.3841060717832465,2.89572909663071,gamma_omega,11.550025611801301,11.55002561808083,5.436810268741694e-10
coarse,0.3297884104430324,-2.1917958590781317,alpha,2.354739124346028,2.35474098291946,7.892905897002464e-07
coarse,0.3297884104430324,-2.1917958590781317,beta,7.427788082520942e-22,5.530521087629713e-20,5.456243206804504e-20
coarse,0.3297884104430324,-2.1917958590781317,gamma_ll,12.878116979129162,12.878132769976949,1.2261767626649956e-06
coarse,0.3297884104430324,-2.1917958590781317,gamma_omega,8.969915988180947,8.96991597565491,1.3964497675289758e-09
coarse,2.9298691274749524,-0.7094484265892476,alpha,1.0,1.0000000000000007,6.661338147750939e-16
coarse,2.9298691274749524,-0.7094484265892476,beta,0.0,-1.0495291731963172e-36,1.0495291731963172e-36
coarse,2.9298691274749524,-0.7094484265892476,gamma_ll,1.0,1.0000000000000022,2.220446049250313e-15
coarse,2.9298691274749524,-0.7094484265892476,gamma_omega,3.6116099158860377,3.6116099146723815,3.360430153993521e-10
coarse,-1.1370066529102372,-2.135037118122483,alpha,3.205354462846589,3.205361374644141,2.1563286158186973e-06
coarse,-1.1370066529102372,-2.135037118122483,beta,-0.01076167695956225,-0.010759976684163033,1.7002753992176323e-06
coarse,-1.1370066529102372,-2.135037118122483,gamma_ll,27.6797629893318,27.679844146555922,2.9320057456616624e-06
coarse,-1.1370066529102372,-2.135037118122483,gamma_omega,8.772838527729348,8.772838491355444,4.146195631219443e-09
coarse,-0.6055745611799839,-2.575579435380582,alpha,1.18816982122525,1.1881691425763299,5.711716524425152e-07
coarse,-0.6055745611799839,-2.575579435380582,beta,1.42155804955615e-11,-5.093416713737322e-10,5.235572518692936e-10
coarse,-0.6055745611799839,-2.575579435380582,gamma_ll,1.8110568081531564,1.8110568060226058,1.1764129182591738e-09
coarse,-0.6055745611799839,-2.575579435380582,gamma_omega,10.456733041944911,10.456733138333236,9.21782400780418e-09
coarse,-0.5503851890952678,1.9292514655608155,alpha,9.165304776892336,9.165401735361753,1.0578859271682027e-05
coarse,-0.5503851890952678,1.9292514655608155,beta,0.10246726140398371,0.10249316395023238,2.5902546248665614e-05
coarse,-0.5503851890952678,1.9292514655608155,gamma_ll,262.4782237226215,262.4782352299173,4.384095413223001e-08
coarse,-0.5503851890952678,1.9292514655608155,gamma_omega,8.067548127418048,8.067548040362388,1.0790844886605235e-08
coarse,-0.42995922107357454,2.0666342618116236,alpha,4.3305877827944705,4.330600706534237,2.98429229808102e-06
coarse,-0.42995922107357454,2.0666342618116236,beta,0.0009446057454810783,0.0009461479796691939,1.542234188115616e-06
coarse,-0.42995922107357454,2.0666342618116236,gamma_ll,55.8880437613077,55.88820949857355,2.965522761194341e-06
coarse,-0.42995922107357454,2.0666342618116236,gamma_omega,8.533968476104882,8.533968429027015,5.516526932335985e-09
coarse,2.033371547011326,3.257297169909924,alpha,1.0001624070017647,1.000162406379196,6.224675701970313e-10
coarse,2.033371547011326,3.257297169909924,beta,-5.256488868087762e-07,-5.256186696299176e-07,3.021717885855132e-11
coarse,2.033371547011326,3.257297169909924,gamma_ll,1.000589364592433,1.0005893623334912,2.257611366203451e-09
coarse,2.033371547011326,3.257297169909924,gamma_omega,13.786368129157017,13.786368128068284,7.897168053125708e-11
coarse,2.6674612341241426,4.07708388459203,alpha,1.0,0.9999999999999988,1.2212453270876722e-15
coarse,2.6674612341241426,4.07708388459203,beta,-1.0413415084510983e-10,-1.0383827846282794e-10,2.9587238228189165e-13
coarse,2.6674612341241426,4.07708388459203,gamma_ll,1.0,0.9999999999999956,4.440892098500626e-15
coarse,2.6674612341241426,4.07708388459203,gamma_omega,19.68813290173136,19.688132898078994,1.8551110538113383e-10
coarse,2.38570456355623,-0.7496486004049219,alpha,1.0200823852654601,1.0200824084430204,2.2721263155048458e-08
coarse,2.38570456355623,-0.7496486004049219,beta,0.0,1.0599337771732006e-30,1.0599337771732006e-30
coarse,2.38570456355623,-0.7496486004049219,gamma_ll,1.0721445541525154,1.0721446898243663,1.2654249871387982e-07
