lambda1,lambda2,nodes,energy,pressure,opacity_scaling_derivative,effective_exponent,minimum_dec_holding_energy,zero_wall_mass_held_energy_floor,zero_wall_mass_released_energy,virial_identity_error,measured_mass_025_released_energy,measured_mass_025_held_floor,measured_mass_1_released_energy,measured_mass_1_held_floor,released_zero_energy_mass_per_wall
0.0001,0.1,512,-2.5278673464689914e-08,-2.9132199251426603e-08,4.670382114264309e-08,1.1524417723944027,2.9132199251426603e-08,3.853525786736689e-09,-2.5278673464689914e-08,-3.970466940254533e-23,0.4999999747213265,0.5000000038535258,1.9999999747213266,2.000000003853526,1.2639336732344957e-08
0.0001,1.0,128,-1.2779352807426837e-07,-1.888105685462142e-07,1.9457001567659115e-07,1.4774658106041585,1.888105685462142e-07,6.101704047194583e-08,-1.2779352807426837e-07,2.117582368135751e-22,0.4999998722064719,0.5000000610170404,1.999999872206472,2.0000000610170403,6.389676403713419e-08
0.0001,1.0,256,-1.2779352807426927e-07,-1.8881056854621497e-07,1.9457001567659235e-07,1.477465810604154,1.8881056854621497e-07,6.10170404719457e-08,-1.2779352807426927e-07,-4.764560328305439e-22,0.4999998722064719,0.5000000610170404,1.999999872206472,2.0000000610170403,6.389676403713464e-08
0.0001,1.0,512,-1.277935280742685e-07,-1.888105685462139e-07,1.9457001567659123e-07,1.4774658106041547,1.888105685462139e-07,6.10170404719454e-08,-1.277935280742685e-07,-4.235164736271502e-22,0.4999998722064719,0.5000000610170404,1.999999872206472,2.0000000610170403,6.389676403713425e-08
0.0001,10.0,128,-2.671073023205346e-07,-4.949762951547684e-07,3.063456118068355e-07,1.8530990761188026,4.949762951547684e-07,2.278689928342338e-07,-2.671073023205346e-07,1.0587911840678754e-22,0.49999973289269767,0.5000002278689928,1.9999997328926977,2.000000227868993,1.335536511602673e-07
0.0001,10.0,256,-2.671073023205362e-07,-4.949762951547701e-07,3.0634561180683726e-07,1.853099076118798,4.949762951547701e-07,2.278689928342339e-07,-2.671073023205362e-07,-1.164670302474663e-21,0.49999973289269767,0.5000002278689928,1.9999997328926977,2.000000227868993,1.335536511602681e-07
0.0001,10.0,512,-2.671073023205345e-07,-4.949762951547679e-07,3.063456118068354e-07,1.8530990761188015,4.949762951547679e-07,2.2786899283423336e-07,-2.671073023205345e-07,-2.117582368135751e-22,0.49999973289269767,0.5000002278689928,1.9999997328926977,2.000000227868993,1.3355365116026725e-07
0.0001,100.0,128,-3.104553574927425e-07,-6.149604351639923e-07,3.1640563731423563e-07,1.980833702244511,6.149604351639923e-07,3.0450507767124984e-07,-3.104553574927425e-07,5.293955920339377e-22,0.4999996895446425,0.5000003045050777,1.9999996895446426,2.0000003045050776,1.5522767874637125e-07
0.0001,100.0,256,-3.104553574927443e-07,-6.149604351639938e-07,3.1640563731423743e-07,1.9808337022445044,6.149604351639938e-07,3.045050776712495e-07,-3.104553574927443e-07,-1.6940658945086007e-21,0.4999996895446425,0.5000003045050777,1.9999996895446426,2.0000003045050776,1.5522767874637215e-07
0.0001,100.0,512,-3.1045535749274245e-07,-6.149604351639913e-07,3.164056373142356e-07,1.980833702244508,6.149604351639913e-07,3.0450507767124884e-07,-3.1045535749274245e-07,-5.293955920339377e-22,0.4999996895446425,0.5000003045050777,1.9999996895446426,2.0000003045050776,1.5522767874637122e-07
0.0001,1000.0,128,-3.159736207365173e-07,-6.313414881335484e-07,3.1657937407600384e-07,1.9980828990151955,6.313414881335484e-07,3.153678673970311e-07,-3.159736207365173e-07,3.1763735522036263e-22,0.4999996840263793,0.5000003153678674,1.9999996840263792,2.0000003153678674,1.5798681036825866e-07
0.0001,1000.0,256,-3.159736207365191e-07,-6.313414881335499e-07,3.165793740760056e-07,1.9980828990151889,6.313414881335499e-07,3.153678673970308e-07,-3.159736207365191e-07,-1.9058241313221758e-21,0.4999996840263793,0.5000003153678674,1.9999996840263792,2.0000003153678674,1.5798681036825956e-07
0.0001,1000.0,512,-3.159736207365173e-07,-6.313414881335477e-07,3.165793740760038e-07,1.9980828990151933,6.313414881335477e-07,3.153678673970304e-07,-3.159736207365173e-07,-5.293955920339377e-22,0.4999996840263793,0.5000003153678674,1.9999996840263792,2.0000003153678674,1.5798681036825866e-07
