s,l,endpoint_speed,timelike_margin,packet_edge_distance
1.7,-0.5,-5.517022937159443e-16,1.0,1.85
1.71,-2.1,-2.803739482674966e-66,1.0,3.46
1.71,-0.5,-3.880147646131693e-16,1.0,1.8599999999999999
1.72,-2.1,-2.556607177989593e-65,1.0,3.47
1.72,-0.5,-2.64971429187916e-16,1.0,1.8699999999999997
1.73,-2.1,-8.033619611323916e-66,1.0,3.48
1.73,-0.5,-1.8391797440518597e-16,1.0,1.88
1.74,-2.1,5.642107887678581e-66,1.0,3.4899999999999998
1.74,-0.5,-1.3019838563948738e-16,1.0,1.8900000000000001
1.75,-2.1,4.444605434503753e-66,1.0,3.5
1.75,-0.5,-8.624992533100024e-17,1.0,1.9
1.76,-2.1,-1.6762585375211704e-67,1.0,3.5100000000000002
1.76,-0.5,-6.305217404113766e-17,1.0,1.9099999999999997
1.77,-2.1,-1.5066835288835045e-66,1.0,3.52
1.77,-0.5,-4.227155617448076e-17,1.0,1.92
1.78,-2.1,-4.787319385169537e-67,1.0,3.53
1.78,-0.5,-2.700061557644162e-17,1.0,1.9300000000000002
1.79,-2.1,3.17351284718557e-67,1.0,3.54
1.79,-0.5,-1.8387012244604747e-17,1.0,1.94
1.8,-2.1,2.55847577480893e-67,1.0,3.5500000000000003
1.8,-0.5,-9.754267667127458e-18,1.0,1.9499999999999997
1.81,-2.1,-1.0487062165463366e-68,1.0,3.56
1.81,-0.5,-8.723025364857696e-18,1.0,1.96
1.82,-2.1,-8.998540299110923e-68,1.0,3.57
1.82,-0.5,-9.894909736349995e-18,1.0,1.9700000000000002
1.83,-2.1,-2.981894617800923e-68,1.0,3.58
1.83,-0.5,-5.1764845555285824e-18,1.0,1.98
1.84,-2.1,1.7529811547243403e-68,1.0,3.5900000000000003
1.84,-0.5,7.122671145709554e-19,1.0,1.9899999999999998
