half_angle,layer,rounding,kind,r0,kept_energy,status,time,exit_angle_deg
45.0,2.0,0.5,matter,0.2,314833433878542.7,left sideways,23.578652361326412,61.56310985899012
45.0,2.0,0.5,matter,0.5,79226086600358.94,left sideways,23.21287514286793,61.56310985671322
45.0,2.0,0.5,matter,1.0,16383751814107.662,left sideways,22.886820058975466,61.56310985796128
45.0,2.0,0.5,matter,2.0,940109668771.5116,left sideways,22.36966592561758,61.56310985936476
45.0,2.0,0.5,matter,4.0,3497912097.016571,left sideways,21.399042767347915,61.5631098620083
45.0,2.0,0.5,matter,7.0,829461.8198997111,left sideways,19.96390283084384,61.563147261449814
45.0,2.0,0.5,matter,10.0,237.26135758728105,left sideways,18.536037654279465,61.69352826014401
45.0,2.0,0.5,matter,12.5,1.6215407106440203,left sideways,18.923818585611425,76.59304025979561
45.0,2.0,2.0,light,0.05,1.0128109682549954e+21,left sideways,30.385378737397108,61.563109856280015
45.0,2.0,2.0,light,0.2,5.191772339009738e+18,left sideways,28.720337127104596,61.563109854453096
45.0,2.0,2.0,light,0.5,1.4594917767893274e+17,left sideways,27.63619385465066,61.56310985312542
45.0,2.0,2.0,light,1.0,7553839647791631.0,left sideways,26.860726997138585,61.56310985616013
45.0,2.0,2.0,light,2.0,169704507223177.94,left sideways,26.19438134011875,61.563109854276256
45.0,2.0,2.0,light,4.0,379584947614.4864,left sideways,25.69077649825309,61.56310985805824
45.0,2.0,2.0,light,7.0,72663001.76040019,left sideways,25.364667146407065,61.563109387097924
45.0,2.0,2.0,light,10.0,16639.446375509517,left sideways,25.169976810590953,61.56105867498091
45.0,2.0,2.0,light,12.5,23.809363874223823,left sideways,25.275134762017476,60.119635332411264
45.0,2.0,2.0,matter,0.05,4.1181936787324456e+20,left sideways,26.398510906403708,61.56310985591925
45.0,2.0,2.0,matter,0.2,2.1212026122666924e+18,left sideways,24.729834550453383,61.56310985332536
45.0,2.0,2.0,matter,0.5,6.1006460573117e+16,left sideways,23.625680554532124,61.5631098559694
45.0,2.0,2.0,matter,1.0,3336542173394827.5,left sideways,22.78106031154645,61.563109858113286
45.0,2.0,2.0,matter,2.0,82494224493625.02,left sideways,21.869409759875268,61.56310985362171
45.0,2.0,2.0,matter,4.0,200959907717.3769,left sideways,20.66306094653387,61.56310985781448
45.0,2.0,2.0,matter,7.0,39870590.31144651,left sideways,19.124083634444343,61.56311063645107
45.0,2.0,2.0,matter,10.0,9286.000588230267,left sideways,17.655478573310237,61.56645093397457
45.0,2.0,2.0,matter,12.5,15.921426285792414,left sideways,16.422339427308838,63.43808896086035
45.0,5.0,0.5,light,0.05,2176838.039391642,left sideways,33.23098462470188,61.563094174040714
45.0,5.0,0.5,light,0.2,783954.1729921595,left sideways,32.48589499998797,61.56306631499521
45.0,5.0,0.5,light,0.5,380435.0943084156,left sideways,32.10125456375088,61.56302013881849
45.0,5.0,0.5,light,1.0,187002.8653285064,left sideways,31.915903041352948,61.56292733932883
45.0,5.0,0.5,light,2.0,57530.888226089046,left sideways,31.79143024977798,61.56251660160862
45.0,5.0,0.5,light,4.0,6061.127269322874,left sideways,31.668837663000925,61.55747870861303
45.0,5.0,0.5,light,7.0,212.74306141255195,left sideways,31.54952721066703,61.40255888405893
45.0,5.0,0.5,light,10.0,7.657676565316866,left sideways,32.06276273051353,57.003099256170685
45.0,5.0,0.5,light,12.5,1.0459975503701395,passed,54.788483873333774,12.321498547671897
45.0,5.0,0.5,matter,0.05,1036641.3770654966,left sideways,28.548251670753867,61.563139783267445
45.0,5.0,0.5,matter,0.2,391297.53938919003,left sideways,27.779401856133223,61.563189144092256
45.0,5.0,0.5,matter,0.5,200182.7330840156,left sideways,27.320191938809707,61.5632648453267
45.0,5.0,0.5,matter,1.0,101854.00170809575,left sideways,26.958635005302824,61.56341447727143
45.0,5.0,0.5,matter,2.0,31924.831429735994,left sideways,26.427532071398215,61.5640817202773
45.0,5.0,0.5,matter,4.0,3385.588832156217,left sideways,25.450788886988146,61.57227265693035
45.0,5.0,0.5,matter,7.0,118.02317498395905,left sideways,23.979916436875623,61.82457580203455
45.0,5.0,0.5,matter,10.0,4.688256132753013,left sideways,22.43907210156699,67.45283934982726
45.0,5.0,0.5,matter,12.5,1.0294651223326658,passed,29.165803080568818,86.7106866202888
45.0,5.0,2.0,light,0.05,645425377.3147295,left sideways,36.12216439177856,61.563109798840856
45.0,5.0,2.0,light,0.2,49376570.678911634,left sideways,34.0935309715855,61.56310916104197
45.0,5.0,2.0,light,0.5,8755749.09008786,left sideways,32.77782187895525,61.563105955639
45.0,5.0,2.0,light,1.0,2166065.9195050397,left sideways,31.847648287535133,61.56309409736139
45.0,5.0,2.0,light,2.0,401467.1376350101,left sideways,31.068964438349624,61.56302483887669
45.0,5.0,2.0,light,4.0,31830.37889820391,left sideways,30.507438506555527,61.562037594977156
45.0,5.0,2.0,light,7.0,1002.6012219420303,left sideways,30.167349645727665,61.52906277618504
