family,unload_fraction,route,time,required_negative_null,peak_x,peak_null_cosine,auxiliary_ADM
directional,0.0,delivery_drift050,1.285,0.5432219922502877,-0.51328125,-0.03350775755342483,268.77509931825256
directional,0.0,delivery_drift090,0.0,0.12995442255983003,-0.50078125,0.48046332196370395,217.96327003966624
directional,0.0,delivery_drift090,0.5,0.09423641677944611,-0.50078125,0.018608052136536428,229.44565782111633
directional,0.0,delivery_drift090,1.285,0.5432219922502877,-0.51328125,-0.03350775755342483,268.77509931825256
directional,0.0,guide_omitted_tensor_bound,0.0,0.1179456077938597,-0.50078125,1.0,-332.70942199786816
directional,0.0,guide_omitted_tensor_bound,0.5,0.049919733340373175,-2.0992187500000004,-1.0,-80.38877192632962
directional,0.0,guide_omitted_tensor_bound,1.285,0.48836822690932546,-0.51328125,-1.0,239.62584858227032
directional,0.025,delivery_drift050,0.0,0.12915184102861413,-0.50078125,0.47661664701248346,216.32204073375732
directional,0.025,delivery_drift050,0.5,0.09379008343142499,-0.50078125,0.014815084565125843,226.00593392637566
directional,0.025,delivery_drift050,1.285,0.5330685435102148,-0.51328125,-0.047027683370411924,263.31981692542854
directional,0.025,delivery_drift090,0.0,0.12915184102861413,-0.50078125,0.47661664701248346,216.32204073375732
directional,0.025,delivery_drift090,0.5,0.09379008343142499,-0.50078125,0.014815084565125843,226.00593392637566
directional,0.025,delivery_drift090,1.285,0.5330685435102148,-0.51328125,-0.047027683370411924,263.31981692542854
directional,0.025,guide_omitted_tensor_bound,0.0,0.11695152877881816,-0.50078125,1.0,-334.3506513037771
directional,0.025,guide_omitted_tensor_bound,0.5,0.0498419720931418,-2.0992187500000004,-1.0,-83.82849582107029
directional,0.025,guide_omitted_tensor_bound,1.285,0.4804273357168081,-0.51328125,-1.0,234.17056618944633
directional,0.05,delivery_drift050,0.0,0.1284118641748087,-0.50078125,0.47371153899560625,214.73485024405298
directional,0.05,delivery_drift050,0.5,0.09336612222728585,-0.50078125,0.011409477112641035,222.67271042292964
directional,0.05,delivery_drift050,1.285,0.5268563999425369,-0.51328125,-0.12548825797995644,259.54189477427866
directional,0.05,delivery_drift090,0.0,0.1284118641748087,-0.50078125,0.47371153899560625,214.73485024405298
directional,0.05,delivery_drift090,0.5,0.09336612222728585,-0.50078125,0.011409477112641035,222.67271042292964
directional,0.05,delivery_drift090,1.285,0.5268563999425369,-0.51328125,-0.12548825797995644,259.54189477427866
