s,x,velocity,gamma,heat,effective_n,momentum,alpha,b,coordinate_fixed_velocity,momentum_rate,decomposition_residual,traction,lapse,radial_metric,shift,endpoint
0.47500000000000003,-1.4751395336078943,-0.9361197705501542,2.8434831328761936,2.5361525803713465,0.0037663955752410866,-7.576548374562782,50.122008140015666,82.915172430761,-1.2090916829638958e-12,-6.107753164966119,-8.881784197001252e-16,16.246095871898163,-27.48584804851868,6.003060146673523,1.523682334429338e-10,-0.8710611351714933
0.48,-1.4779693398983473,-0.9390468577885376,2.9087593913070826,2.522244741553981,0.003751025500641909,-7.60669048289245,49.0986062488437,81.45500747744899,-9.645593515748702e-13,-5.949683353598747,-5.329070518200751e-15,15.653165951560325,-27.120941033310455,6.360864388009739,1.2240544605003128e-10,-0.8427726599807666
0.485,-1.480799711936307,-0.9418394045331017,2.975629961731786,2.508678193705537,0.003735979878163042,-7.636051169863473,48.09387650306158,80.01407928998398,-7.691162836109526e-13,-5.795191513508539,2.6645352591003757e-15,15.079128084915624,-26.768165981651922,6.708336025706964,9.817711283562976e-11,-0.8144896425773788
0.49,-1.4836303300713212,-0.9445047964682554,3.044162041792933,2.49539661965953,0.0037212079349725545,-7.664648450652409,47.107636714412614,78.59241646236562,-6.129931686461648e-13,-5.64433202347524,8.881784197001252e-16,14.523580971652478,-26.427149737136258,7.045702047956454,7.862494923727356e-11,-0.7864653060265393
0.495,-1.4864609012712702,-0.9470501233486943,3.11443275103861,2.4823394421377274,0.003706652775237085,-7.692500672495501,46.13969497911049,77.19003039546399,-4.883551937534719e-13,-5.497182609874877,-1.7763568394002505e-15,13.986115527199473,-26.09752493160088,7.373194570075994,6.288227626347069e-11,-0.7589677756123485
0.5,-1.4892911578039365,-0.9494821686923492,3.18653004164431,2.4694419327805925,0.003692251508841444,-7.719626620839585,45.18985070658501,75.80691630947561,-3.8897741032488733e-13,-5.353840154570287,0.0,13.46631673515408,-25.778931066857798,7.691049945521124,5.02478175092209e-11,-0.7322757684379421
0.505,-1.492120855917117,-0.9518074026647522,3.2605536679769282,2.4566353286013887,0.0036779354019225927,-7.746045605095909,44.257895422159855,74.44305401079144,-3.097124535202739e-13,-5.214416711487848,-1.7763568394002505e-15,12.96376508621858,-25.47101535079617,7.999507950954173,4.012881335574817e-11,-0.7066743979045618
0.51,-1.4949497745293552,-0.9540319771812372,3.3366162042190672,2.4438469457866954,0.00366363003137899,-7.77177752491217,43.34361396045247,73.09840919787436,-2.465514744591853e-13,-5.079035696050147,2.6645352591003757e-15,12.478038178668733,-25.173433642043065,8.298810950964487,3.2051947064551897e-11,-0.6824511836723507
0.515,-1.4977777139375146,-0.9561617242973594,3.4148441657377577,2.4310002968116806,0.0036492554539940014,-7.7968429176215786,42.446785053618854,71.77293403230611,-1.9621089973434802e-13,-4.9478281542609865,-1.7763568394002505e-15,12.008711892773505,-24.885850953387273,8.589203192123481,2.5620188151356817e-11,-0.659892285796322
0.52,-1.5006044945439931,-0.9582021443242228,3.4953787212995002,2.4180156952507317,0.003634726882107924,-7.821262991733586,41.56718229701879,70.46656823126885,-1.5607511103922368e-13,-4.820936962069793,-4.440892098500626e-15,11.555361581763421,-24.6079424642543,8.870929108006779,2.0509103040798255e-11,-0.6392851876062065
0.525,-1.5034299545046093,-0.9601572866219316,3.578327497221723,2.4048585408532235,0.0036200048196776166,-7.845059759546178,40.70457503131402,69.17924086703637,-1.240922765479168e-13,-4.698508655858751,8.881784197001252e-16,11.117562534920161,-24.33941931234455,9.144193991308194,1.640914150791745e-11,-0.6208458697589643
0.53,-1.5062539429805346,-0.9620290226262331,3.6637126022759436,2.3915819365377935,0.0036051407001866367,-7.868255284448473,39.858729681311694,67.91087289938986,-9.860394628744755e-14,-4.580400631750161,-2.6645352591003757e-15,10.694891564208966,-24.08003317342702,9.409184988900291,1.310450822979177e-11,-0.6044440114455065
0.535,-1.5090763168342556,-0.9638191065279267,3.75154029704498,2.378249366582585,0.00359019810119654,-7.890870503800691,39.0294109269708,66.66137715173355,-7.832449639959471e-14,-4.466333082497684,0.0,10.286928670950502,-23.82953636733594,9.666097562913142,1.0449750571446866e-11,-0.5898229490358378
0.54,-1.5118969407074938,-0.9655294110800043,3.8418099322675947,2.364924560761734,0.003575242348098091,-7.912924769721587,38.216381773869266,65.43065814402931,-6.219694772634048e-14,-4.355956838441256,-8.881784197001252e-16,9.893257706823967,-23.587679021142513,9.915127067550943,8.323002059393286e-12,-0.5766625916819761
0.545,-1.514715687225326,-0.9671619272104698,3.934514174157154,2.351670588376377,0.0035603395371204133,-7.9344355743514035,37.41940395221051,64.2186125847855,-4.9374931904323343e-14,-4.248881297143022,-3.552713678800501e-15,9.51346712916726,-23.354208945155893,10.156467858995478,6.624092174699721e-12,-0.5646073401564955
