scenario,pressure_cap,host_stiffness_control,velocity_step,points,max_action_hessian_error,max_normalized_action_hessian_error,min_radial_kinetic,max_radial_kinetic,min_angular_kinetic,negative_radial_kinetic_points,negative_angular_kinetic_points,positive_definite_kinetic_points,full_material_candidate_pass
zero_preload,1.0,positive,0.02,2049,5.204170427930421e-17,1.468382573299899e-15,-0.022219631082294005,-1.3384973404066267e-06,-0.00035513327328080775,2049,1162,0,False
zero_preload,1.0,positive,0.01,2049,6.245004513516506e-17,1.6309683087969162e-15,-0.022219631082293967,-1.338497340406626e-06,-0.00035513327328080737,2049,1162,0,False
zero_preload,1.0,mixed,0.04,2049,5.551115123125783e-17,1.5211244164027228e-15,-0.022219631082293977,-1.3384973404066256e-06,-0.00035513327328080694,2049,1162,0,False
zero_preload,1.0,mixed,0.02,2049,5.204170427930421e-17,1.468382573299899e-15,-0.022219631082294005,-1.3384973404066267e-06,-0.0003551332732808081,2049,1162,0,False
zero_preload,1.0,mixed,0.01,2049,6.245004513516506e-17,1.6309683087969162e-15,-0.022219631082293967,-1.338497340406626e-06,-0.0003551332732808073,2049,1162,0,False
low_preload_zero_drift,0.5,zero,0.04,2049,1.249000902703301e-16,2.8867607417195332e-15,-0.022231703641156075,-1.3384998469416362e-06,-0.0003844105953812768,2049,1165,0,False
low_preload_zero_drift,0.5,zero,0.02,2049,1.491862189340054e-16,3.513294080073356e-15,-0.022231703641156095,-1.3384998469419892e-06,-0.00038441059538127967,2049,1165,0,False
low_preload_zero_drift,0.5,zero,0.01,2049,1.491862189340054e-16,3.4705892579761237e-15,-0.02223170364115601,-1.3384998469412834e-06,-0.00038441059538127826,2049,1165,0,False
low_preload_zero_drift,0.5,positive,0.04,2049,1.5265566588595902e-16,3.565902555823891e-15,-0.022231703641156075,-1.3384998469412834e-06,-0.00038441059538127544,2049,1165,0,False
low_preload_zero_drift,0.5,positive,0.02,2049,1.6653345369377348e-16,4.0230923982459765e-15,-0.022231703641156078,-1.3384998469419892e-06,-0.00038441059538127967,2049,1165,0,False
low_preload_zero_drift,0.5,positive,0.01,2049,1.6306400674181987e-16,4.159510666534399e-15,-0.022231703641155984,-1.3384998469416362e-06,-0.00038441059538127967,2049,1165,0,False
low_preload_zero_drift,0.5,mixed,0.04,2049,1.457167719820518e-16,3.565902555823891e-15,-0.022231703641156075,-1.3384998469412834e-06,-0.00038441059538127826,2049,1165,0,False
low_preload_zero_drift,0.5,mixed,0.02,2049,1.6653345369377348e-16,4.0230923982459765e-15,-0.022231703641156078,-1.3384998469419892e-06,-0.00038441059538127967,2049,1165,0,False
low_preload_zero_drift,0.5,mixed,0.01,2049,1.6306400674181987e-16,4.159510666534399e-15,-0.022231703641155984,-1.3384998469416362e-06,-0.0003844105953812768,2049,1165,0,False
low_preload_zero_drift,1.0,zero,0.04,2049,6.591949208711867e-17,1.4989941070650911e-15,-0.02223170364115606,-1.3384998469401691e-06,-0.00038441059538127923,2049,1165,0,False
low_preload_zero_drift,1.0,zero,0.02,2049,6.245004513516506e-17,1.4232202311727741e-15,-0.022231703641156075,-1.3384998469401696e-06,-0.00038441059538127896,2049,1165,0,False
low_preload_zero_drift,1.0,zero,0.01,2049,6.591949208711867e-17,1.5210466969909912e-15,-0.022231703641156026,-1.3384998469401691e-06,-0.0003844105953812786,2049,1165,0,False
low_preload_zero_drift,1.0,positive,0.04,2049,6.591949208711867e-17,1.4299101125953094e-15,-0.02223170364115606,-1.3384998469401691e-06,-0.00038441059538127896,2049,1165,0,False
low_preload_zero_drift,1.0,positive,0.02,2049,5.551115123125783e-17,1.5759473895484753e-15,-0.022231703641156064,-1.3384998469401696e-06,-0.00038441059538127896,2049,1165,0,False
low_preload_zero_drift,1.0,positive,0.01,2049,6.245004513516506e-17,1.6141553798989061e-15,-0.02223170364115602,-1.3384998469401691e-06,-0.00038441059538127896,2049,1165,0,False
low_preload_zero_drift,1.0,mixed,0.04,2049,6.591949208711867e-17,1.4299101125953094e-15,-0.02223170364115606,-1.3384998469401691e-06,-0.0003844105953812796,2049,1165,0,False
