width,angular_index,wave_number,k_radius,k_width,scale_window,normal_frequency_squared,growth_rate,required_bending_coefficient,required_bending_to_sigma_width_squared
0.025,68,10.07326105267277,68.49817515817483,0.25183152631681927,False,-17.697222045862112,4.206806632810939,4.400465751862054e-06,2.7500761937430416
0.025,69,10.220323737584739,69.49820141557622,0.2555080934396185,False,-18.217728576622765,4.268223117015179,4.274738158951708e-06,2.6715025882075256
0.025,70,10.367386312949746,70.49822692805827,0.25918465782374367,False,-18.74577868029299,4.329639555470292,4.154322999544618e-06,2.596248994173511
0.025,71,10.514448783364399,71.49825172687791,0.26286121958410996,False,-19.281372356872787,4.391055950095921,4.038925138446157e-06,2.524130966557581
0.025,72,10.661511153171682,72.49827584156743,0.2665377788292921,False,-19.824509606362163,4.452472302705786,3.928269655201056e-06,2.4549766935012083
0.025,73,10.808573426478212,73.49829930005184,0.2702143356619553,False,-20.375190428761112,4.513888615014897,3.8221002050604875e-06,2.38862597205523
0.025,74,10.955635607170104,74.4983221287567,0.2738908901792526,False,-20.933414824069636,4.575304888646181,3.720177532925541e-06,2.3249292794670904
0.025,75,11.102697698927573,75.49834435270749,0.2775674424731893,False,-21.49918279228773,4.636721125136569,3.6222781241643433e-06,2.263746930007431
0.025,76,11.2497597052384,76.49836599562111,0.28124399263096,False,-22.07249433341541,4.698137325942635,3.5281929780821513e-06,2.2049483084487957
0.025,77,11.396821629410331,77.49838707999025,0.2849205407352583,False,-22.65334944745265,4.759553492445762,3.4377264914646613e-06,2.148411172334724
0.025,78,11.543883474582568,78.49840762716146,0.2885970868645642,False,-23.241748134399476,4.820969625956948,3.350695441047834e-06,2.094021016073085
0.025,79,11.690945243736348,79.49842765740716,0.2922736310934087,False,-23.837690394255873,4.88238572772122,3.266928055021638e-06,2.041670490671258
0.025,80,11.83800693970477,80.49844718999243,0.29595017349261926,False,-24.441176227021842,4.943801798921741,3.1862631647741903e-06,1.9912588736176466
0.05,1,0.20797258270192576,1.4142135623730951,0.010398629135096288,False,-0.007543572909574643,0.08685374436128038,0.010323492653868376,1612.919687630294
0.05,2,0.36021907982105555,2.449489742783178,0.018010953991052778,False,-0.02263071872872392,0.15043509806133648,0.0034411642179561267,537.639895876765
0.05,3,0.5094267081084933,3.4641016151377544,0.025471335405424667,False,-0.04526143745744785,0.21274735593526856,0.0017205821089780627,268.81994793838237
0.05,4,0.6576670522058206,4.47213595499958,0.03288335261029103,False,-0.07543572909574643,0.2746556554956523,0.0010323492653868376,161.2919687630294
0.05,5,0.8054743492723031,5.477225575051661,0.04027371746361516,False,-0.11315359364361963,0.33638310546699524,0.0006882328435912252,107.52797917535293
0.05,6,0.9530501027070383,6.48074069840786,0.047652505135351915,False,-0.15841503110106747,0.39801385792591126,0.0004915948882794466,76.80569941096638
0.05,7,1.100487466698218,7.483314773547883,0.055024373334910906,False,-0.21122004146809,0.4595868160294527,0.0003686961662095849,57.60427455822479
0.05,8,1.2478354962115543,8.48528137423857,0.06239177481057772,False,-0.27156862474468707,0.5211224661676822,0.0002867636848296772,44.803324656397066
0.05,9,1.3951224971331087,9.486832980505138,0.06975612485665543,False,-0.33946078093085896,0.582632629476636,0.00022941094786374167,35.84265972511764
0.05,10,1.5423659531913994,10.488088481701515,0.07711829765956997,True,-0.4148965100266054,0.644124607530721,0.0001876998664339705,29.325812502368983
0.05,11,1.689577248981773,11.489125293076057,0.08447886244908866,True,-0.4978758120319263,0.7056031547774757,0.00015641655536164208,24.438177085307487
0.05,12,1.8367641171759996,12.489995996796797,0.09183820585879998,True,-0.5883986869468222,0.767071500543999,0.00013235246992138945,20.67845753372172
0.05,13,1.9839319945929474,13.490737563232042,0.09919659972964738,True,-0.6864651347712926,0.8285319153607136,0.0001134449742183338,17.72439217176147
0.05,14,2.1310848156160938,14.491376746189436,0.1065542407808047,True,-0.7920751555053374,0.889986042309281,9.831897765588931e-05,15.361139882193282
0.05,15,2.278225497769069,15.491933384829668,0.11391127488845346,True,-0.9052287491489573,0.9514350998092078,8.602910544890312e-05,13.440997396919116
0.05,16,2.42535625036333,16.492422502470642,0.1212678125181665,True,-1.0259259157021516,1.0128800105156344,7.59080342196204e-05,11.859703585516868
0.05,17,2.5724787771376323,17.4928556845359,0.12862393885688161,True,-1.1541666551649201,1.0743214859458599,6.747380819521817e-05,10.541958742681663
0.05,18,2.7195944130745486,18.49324200890693,0.13597972065372743,True,-1.2899509675372642,1.1357600836168105,6.0371302069405705e-05,9.43227887503096
0.05,19,2.86670421906146,19.493588689617926,0.143335210953073,True,-1.4332788528191822,1.19719624657747,5.433417186246514e-05,8.489050987527865
0.05,20,3.0138090488116465,20.493901531919196,0.15069045244058232,True,-1.5841503110106747,1.2586303313565403,4.9159488827944656e-05,7.680569941096641
0.05,21,3.1609095970889234,21.494185260204677,0.15804547985444617,True,-1.7425653421117426,1.3200626281020695,4.469044438904058e-05,6.982336310087853
0.05,22,3.3080064350594096,22.494443758403985,0.16540032175297048,True,-1.9085239461223846,1.3814933753450953,4.080431878999359e-05,6.37517663094978
0.05,23,3.4551000366090383,23.49468024894146,0.17275500183045192,True,-2.0820261230426014,1.4429227709903956,3.740395889082746e-05,5.843911911703965
