regulator,proper,coordinate,radius,lapse,rho,pr,pt,polarization,radial_enthalpy,radial_enthalpy_tail,required_radial_enthalpy
4.0,69.25480339609675,2.751019243193756,3.360523104855783,0.9187946569391342,0.0013559610348120282,0.0007932368876366042,-0.0017627693232252174,0.0012628633729335743,0.0021491979224486325,-6.015504101398503e-08,-0.015042549763078592
4.0,69.38480183919961,2.8729808176027976,3.4439636385668835,0.8894922803356892,0.0012181633757681284,0.0006138993534184265,-0.0014448179231088508,0.0008048955825339266,0.0018320627291865549,-7.339946371568934e-08,-0.012240521740754231
4.0,69.51480028230242,2.9989356547362513,3.534093733946757,0.8713196121510386,0.000994196557338698,0.0004775490999779509,-0.0011583723792715703,0.0005182172018691896,0.0014717456573166488,-8.497845821290112e-08,-0.00960369211133779
4.0,69.64479872540528,3.1270223557552406,3.6299557851510067,0.8607228850606531,0.0007551862678324315,0.0003724221526683546,-0.0009104824358895181,0.0003484059408801403,0.001127608420500786,-1.0111230784683628e-07,-0.007402599664965639
4.0,69.76979722838882,3.2511823596196745,3.726689204558213,0.8550640821753993,0.0005578913446195736,0.00029412078107206264,-0.0007133101778355872,0.0002536254231703539,0.0008520121256916362,-1.1937506782456466e-07,-0.005753813519578241
4.0,69.89479573137231,3.3758067636020326,3.827168394551386,0.8520447231886258,0.000415332130157867,0.00023328479601596131,-0.0005623083622141631,0.00019676824598106069,0.0006486169261738282,-1.2577761220966921e-07,-0.004504472444776843
4.0,70.0197942343558,3.5006441061274245,3.9307851666351143,0.8505084327123943,0.00032652835808585895,0.00018571876926451943,-0.00045559226333455923,0.0001595236218717191,0.0005122471273503784,-1.2858513831026643e-07,-0.00356059703609449
4.0,70.14479273733934,3.625575439989497,4.037026122476249,0.849759573540606,0.00027570471392960585,0.0001479750439913954,-0.0003824128249800134,0.00013184309201441313,0.0004236797579210013,-1.2331139502892603e-07,-0.002837235791076937
4.0,70.26979124032283,3.7505468324924576,4.1454579093421895,0.8494084012821183,0.00024450851845445737,0.00011753991746112189,-0.00032920335513470314,0.00010910045237199897,0.00036204843591557925,-1.3113799481908832e-07,-0.0022726947319903646
4.0,70.39478974330632,3.87553473423701,4.255714531010664,0.849249432160922,0.00021996281436191978,9.279343263777286e-05,-0.000285571971930847,8.957998667830298e-05,0.00031275624699969264,-1.3330522497034277e-07,-0.001826371932917952
4.0,70.51978824628986,4.000529220089712,4.367488044543883,0.8491797913323109,0.00019590373768437784,7.266973151407496e-05,-0.00024610043062269686,7.278682013546215e-05,0.0002685734691984528,-1.3159297242154618e-07,-0.0014717880149040755
4.0,70.64478674927335,4.125526247864983,4.480521559670249,0.8491502174723663,0.00017098450823027576,5.6405098326028376e-05,-0.00020919311909750615,5.85609458417415e-05,0.00022738960655630414,-1.3407876795690706e-07,-0.0011905423509075209
4.0,70.7697852522569,4.250524225817368,4.59460323050541,0.8491380301066198,0.00014575131448264856,4.338912247141662e-05,-0.00017479966233222566,4.6735417285979214e-05,0.00018914043695406518,-1.3721396260597094e-07,-0.0009686039645439592
4.0,70.89478375524038,4.3755225477018795,4.709560491058714,0.8491331531409,0.0001221688343284686,3.3072525702066024e-05,-0.000144268624977615,3.705498996279605e-05,0.0001552413600305346,-1.4124361144352282e-07,-0.0007944869896499355
4.0,71.01978225822387,4.500520990144086,4.825254343567477,0.8491312573440631,0.0001008544719132654,2.497477175796573e-05,-0.00011768813196595288,2.9222902085501613e-05,0.00012582924367123113,-1.4369174931290618e-07,-0.0006585060703172784
4.0,71.14478076120741,4.625519473512426,4.941573819912534,0.8491305413129744,8.227127015673292e-05,1.8668162697300448e-05,-9.511293576309183e-05,2.2932727316026748e-05,0.00010093943285403337,-1.4523892596317854e-07,-0.0005525082787667397
4.0,71.2697792641909,4.750517970336886,5.058430827552025,0.8491302785118516,6.647433766748042e-05,1.3789118510317187e-05,-7.628435708947735e-05,1.7902904779385032e-05,8.02634561777976e-05,-1.4610110391553305e-07,-0.0004697507237143528
4.0,71.39477776717445,4.8755164714455725,5.175755557673664,0.8491301847741971,5.3284926369674045e-05,1.003664262934901e-05,-6.078812284479021e-05,1.3891047851693805e-05,6.332156899902305e-05,-1.475714158649129e-07,-0.00040478481232018973
4.0,71.51977627015793,5.000514973876065,5.293492554100623,0.8491301522791268,4.241879981321505e-05,7.165148638128583e-06,-4.8164689962680585e-05,1.0696522268555455e-05,4.958394845134363e-05,-1.4742379501194068e-07,-0.00035331064228457857
4.0,71.64477477314142,5.1255134767015145,5.411597462893478,0.8491301413305842,3.3561926985819606e-05,4.979126400021601e-06,-3.796610549978227e-05,8.156855015979177e-06,3.854105338584121e-05,-1.4869294729506e-07,-0.000312007826075846
4.0,71.76977327612497,5.250511979641218,5.53003442384824,0.8491301377451145,2.6401887304982452e-05,3.324517430760467e-06,-2.9780466652494386e-05,6.141860673089675e-06,2.972640473574292e-05,-1.4919874089380517e-07,-0.00027836043795315634
4.0,71.89477177910845,5.375510482613232,5.6487740298160425,0.8491301366038136,2.0650289398088427e-05,2.0800881529358317e-06,-2.324379602381382e-05,4.547503269856126e-06,2.273037755102426e-05,-1.4861284358032868e-07,-0.000250491794623577
4.0,72.019770282092,5.50050898559612,5.767791764361986,0.849130136250687,1.6054373315899955e-05,1.1511849983128144e-06,-1.804594223300985e-05,3.2905154882626056e-06,1.720555831421277e-05,-1.481654824758455e-07,-0.00022701895102693827
4.0,72.14476878507548,5.62550748857895,5.887066826969742,0.8491301361444812,1.239795666116095e-05,4.6344857168838854e-07,-1.3927884119122711e-05,2.3040578076257346e-06,1.2861405232849339e-05,-1.473441432340141e-07,-0.00020693117495982342
4.0,72.26976728805897,5.750505991561782,6.006581262299154,0.849130136113431,9.499899698802735e-06,-3.908381331598545e-08,-1.06750332455134e-05,1.5343016670998873e-06,9.46081588548675e-06,-1.4707263898259898e-07,-0.00018949263364412196
